asset_id,name,name_en,name_ms,category,osm_category,osm_type,osm_id,lat,lon,state,state_code,district,district_code,website,phone,opening_hours,fee,wheelchair
OSM_node_9989741890,Ratu,,,Waterfall,waterway=waterfall,node,9989741890,1.52131,103.850533,Johor,01,Johor Bahru,02,,,,,
OSM_way_286195752,Zoo Negeri Johor,Johor Zoo,,Zoo,tourism=zoo,way,286195752,1.45774,103.752884,Johor,01,Johor Bahru,02,,,,,
OSM_node_6040807087,Crown Of Johor,,,Attraction,tourism=attraction,node,6040807087,2.022959,103.311459,Johor,01,Kluang,03,,,,,
OSM_node_12029044519,Malaysia's prettiest toilet,,,Attraction,tourism=attraction,node,12029044519,1.881761,103.261549,Johor,01,Kluang,03,,,,,
OSM_node_13853467402,黄梨海壁画,,,Attraction,tourism=attraction,node,13853467402,1.823083,103.314891,Johor,01,Kluang,03,https://srajk.gbs2u.com/bd/index3.asp?userid=87507611&idno=3,,,,
OSM_node_6416217923,Unnamed Gallery,,,Gallery,tourism=gallery,node,6416217923,2.031019,103.320235,Johor,01,Kluang,03,,,,,
OSM_node_14084420416,Perigi Raja,,,Historic Site,historic=yes,node,14084420416,1.882656,103.401961,Johor,01,Kluang,03,,,,,
OSM_node_4329437500,居銮中华纪念馆,,,Historic Site (Memorial),historic=memorial,node,4329437500,2.033469,103.329834,Johor,01,Kluang,03,,,,,
OSM_way_1284794263,Cattle Queen Park,,,Theme Park,tourism=theme_park,way,1284794263,2.135709,103.448761,Johor,01,Kluang,03,,60127486080,Fr-Su 09:00-17:00,,
OSM_node_11155223380,Batu Jendela,,,Viewpoint,tourism=viewpoint,node,11155223380,2.028654,103.557612,Johor,01,Kluang,03,,,,,
OSM_node_2528976028,Gunung Lambak (Utara),Mount Lambak (North),Gunung Lambak (Utara),Viewpoint,tourism=viewpoint,node,2528976028,2.027547,103.357353,Johor,01,Kluang,03,https://www.mpkluang.gov.my/web/guest/hutan-rekreasi-gunung-lambak,,,,
OSM_node_5139879921,Tropical Village,,,Water Park,leisure=water_park,node,5139879921,1.897997,103.207808,Johor,01,Kluang,03,,,,,
OSM_node_11155273808,Lata Tangga (Waterfall),,,Waterfall,waterway=waterfall,node,11155273808,2.058617,103.55608,Johor,01,Kluang,03,,,,,
OSM_node_11155277297,Lata Tengkorak,,,Waterfall,waterway=waterfall,node,11155277297,2.054872,103.543063,Johor,01,Kluang,03,,,,,
OSM_node_11140239444,Mini waterfall,,,Waterfall,waterway=waterfall,node,11140239444,2.025861,103.349726,Johor,01,Kluang,03,,,,,
OSM_node_11155273809,Mini waterfall,,,Waterfall,waterway=waterfall,node,11155273809,2.058354,103.556228,Johor,01,Kluang,03,,,,,
OSM_node_11155257355,Unnamed Waterfall,,,Waterfall,waterway=waterfall,node,11155257355,2.103302,103.543932,Johor,01,Kluang,03,,,,,
OSM_node_5712696421,Firefly Valley Leisure Park,,,Attraction,tourism=attraction,node,5712696421,1.703189,103.912918,Johor,01,Kota Tinggi,04,,,,,
OSM_node_6380159734,Jetty,,,Attraction,tourism=attraction,node,6380159734,1.727772,103.908481,Johor,01,Kota Tinggi,04,,,,,
OSM_node_8118483268,Jomis Old Jetty,Sungai Rengit Abandoned Jetty,,Attraction,tourism=attraction,node,8118483268,1.358647,104.232565,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5487591822,Kelong Eatery,,,Attraction,tourism=attraction,node,5487591822,1.539834,104.262036,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5487591826,Kids Ahoy,,,Attraction,tourism=attraction,node,5487591826,1.539017,104.262426,Johor,01,Kota Tinggi,04,,,,,
OSM_node_7388192771,Kota Tinggi Firefly Park,Kota Tinggi Firefly Park,,Attraction,tourism=attraction,node,7388192771,1.726945,103.911462,Johor,01,Kota Tinggi,04,https://www.facebook.com/ktfireflypark,60174607775,Mo-Su 13:00-23:00,,yes
OSM_node_5487574023,Kraken’s Revenge,,,Attraction,tourism=attraction,node,5487574023,1.539903,104.261639,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5487591828,Li’l Warrior’s Hideout,,,Attraction,tourism=attraction,node,5487591828,1.539434,104.26303,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5487591823,Penawar Falls,,,Attraction,tourism=attraction,node,5487591823,1.539238,104.262002,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5684417461,Penawar River,,,Attraction,tourism=attraction,node,5684417461,1.539628,104.260832,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5487574021,Penawar River Huts,,,Attraction,tourism=attraction,node,5487574021,1.539864,104.260283,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5487591829,Premium Cabana #1,,,Attraction,tourism=attraction,node,5487591829,1.540451,104.263364,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5487591831,Premium Cabana #21,,,Attraction,tourism=attraction,node,5487591831,1.541068,104.262618,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5487591830,Premium Cabana #9,,,Attraction,tourism=attraction,node,5487591830,1.540821,104.263147,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5574943264,Riptide,,,Attraction,tourism=attraction,node,5574943264,1.539454,104.260762,Johor,01,Kota Tinggi,04,,,,,
